Company Name,Ticker,CIK
Walmart,WMT,104169
Target,TGT,27419
Dollar General,DG,29534
Dollar Tree,DLTR,935703
Five Below,FIVE,1177609
Costco,COST,909832
BJ's,BJ,1531152
TJ Maxx,TJX,109198
Ross,ROST,745732
Burlington,BURL,1579298
Macy's,M,794367
Nordstrom,JWN,72333
Dillard's,DDS,28917
Kohl's,KSS,885639
Amazon,AMZN,1018724
Wayfair,W,1616707
Chewy,CHWY,1766502
Ulta Beauty,ULTA,1403568
Bath & Body Works,BBWI,886158
Victoria's Secret,VSCO,1856437
Signet Jewelers,SIG,832988
Tapestry,TPR,1116132
Capri Holdings,CPRI,1530721
Lululemon,LULU,1397187
Boot Barn,BOOT,1610250
Foot Locker,FL,850209
Nike,NKE,320187
Abercrombie & Fitch,ANF,1018840
American Eagle,AEO,919012
Urban Outfitters,URBN,912615
Gap,GAP,39911
Levi Strauss,LEVI,94845
Dick's Sporting Goods,DKS,1089063
Academy Sports,ASO,1817358
Best Buy,BBY,764478
YETI,YETI,1670592
Sherwin-Williams,SHW,89800
RH,RH,1528849
Williams-Sonoma,WSM,719955
Home Depot,HD,354950
Lowe's,LOW,60667
Tractor Supply,TSCO,916365
Kroger,KR,56873
Albertsons,ACI,1646972
Walgreens,WBA,1618921
CVS,CVS,64803
Rite Aid,RAD,84129
Louis Vuitton,LVMUY,
Inditex/Zara,IDEXF,
H&M,HNNMY,
Adidas,ADDYY,
Aritzia,ATZ.TO,
Ahold Delhaize,ADRNY,
ASOS,ASOMF,
